query,answer
鼻炎是什么？,1.简介：鼻炎是指发生在鼻腔黏膜处的炎症反应，是一类较为常见的疾病，主要表现为鼻痒、鼻塞、打喷嚏、流鼻涕等。根据鼻炎起病的快慢、疾病持续时间的长短，可以将鼻炎分为急性鼻炎和慢性鼻炎。引起鼻炎的原因有很多，比如病毒和细菌的感染、过敏、药物、毒物刺激等。鼻炎以药物治疗为主，不同类型的鼻炎，在检查和治疗上都有差异，预后也有所不同。2.症状：鼻炎的症状主要体现在鼻部的不适，常表现为鼻痒、鼻塞、流鼻涕、打喷嚏等，除此以外，根据不同类型的鼻炎还会有其他部位的症状。•	急性鼻炎：多数表现为鼻内干燥、有灼热感，倦怠，头痛或发热等，鼻涕一开始是清水样的，后期若有细菌感染，就会变得粘稠甚至带脓。可能还会出现耳鸣或听力下降等现象。•	变应性鼻炎（过敏性鼻炎）：鼻塞、鼻痒、流清水样鼻涕、反复打喷嚏，几个到几十个不等，一般是在接触过敏原后立即发作。•	萎缩性鼻炎：嗅觉减退，由于鼻黏膜的萎缩还会有鼻出血、鼻部干燥不适、头痛头昏等症状，部分严重者呼气时能闻到臭味。•	药物性鼻炎：主要表现为鼻塞，一般症状会在夜间时加重，静坐时会比活动时加重，鼻子中有分泌物，会感到鼻子干燥不舒服或是有烧灼感。3.病因：鼻炎有多种类型，不同类型的鼻炎，病因不同：•	急性鼻炎：机体在烟酒刺激、慢性疾病和鼻腔疾病、内分泌失调等诱因影响下，抵抗力下降，病毒侵犯鼻腔黏膜导致炎症的发生。•	变应性鼻炎（过敏性鼻炎）：与接触过敏原有关，过敏原与鼻黏膜接触时，会被过敏性鼻炎患者的免疫系统误认为是对机体有害的「外来入侵者」，从而对其发动了强烈的攻击，通过打喷嚏和流清水样鼻涕等方式，试图将这些「外来入侵者」排出体外。常见的过敏原有花粉、尘螨、动物毛发、霉菌等。过敏性鼻炎常和哮喘、湿疹同时存在，都跟过敏有关。•	萎缩性鼻炎：鼻黏膜在长期的刺激下开始萎缩，导致功能减退。常见的刺激包括：有害粉尘、空气的物理刺激；慢性鼻炎、慢性鼻窦炎的脓性分泌物的长期刺激；多次或不适当的鼻腔手术导致鼻黏膜广泛损伤。•	药物性鼻炎：鼻黏膜长期在某些药物的作用下，上皮细胞功能受到损害，导致鼻部的血管舒缩功能失调，从而引发炎症。长期过度使用鼻用减充血剂、抗抑郁药、抗高血压药等容易诱发药物性鼻炎。4.诊断：若出现鼻炎相关症状后，医生会建议做以下检查来明确是否患有鼻炎或是何种类型的鼻炎：•	鼻镜检查：包括前鼻镜检查和鼻内镜检查，可以观察鼻部、鼻黏膜、鼻子分泌物的情况，不同类型的鼻炎，鼻镜检查结果也不同，例如变应性鼻炎患者鼻黏膜表现为苍白、水肿，亦可表现为充血或浅蓝色。•	血常规检查：主要是为了观察血细胞数目有无异常，判断是否存在感染的可能性，辅助诊断。•	影像学检查：CT 和 X 线等影像学检查，主要是为了观察鼻部的结构有无异常，排除其他疾病的干扰，辅助诊断。•	过敏原检测：并非所有鼻炎都需要做该检查，一般怀疑是过敏引起的鼻炎时考虑进行此项检查。5.治疗：鼻炎的治疗一般以药物为主，部分情况严重者可在医生建议下考虑手术治疗。鼻炎的药物分为两大类，一类是在全身起作用的，主要目的是抗炎、消肿、促进鼻涕排出来、抗过敏；另一类是在鼻子局部的用药，如各种喷鼻剂、滴鼻剂等。常见的药物有以下一些：•	鼻用糖皮质激素：如布地奈德鼻喷剂，能减轻鼻黏膜的水肿，抑制血管扩张，从而有效缓解鼻塞、流涕、喷嚏等鼻部症状，是目前治疗鼻炎的首选用药。•	抗组胺药：如盐酸氮卓斯汀鼻喷剂，见效较快，对缓解鼻痒、喷嚏的症状效果较好，但对缓解鼻塞的作用较弱。常见的不良反应有口苦，咽部有刺激感，头痛，嗜睡等。•	鼻用减充血药：如羟甲唑啉喷雾剂，能迅速减轻鼻黏膜充血和肿胀的现象，缓解鼻塞的症状，但是不建议连续使用超过一周，长期滥用易引起「药物性鼻炎」。上述药物均需在医生指导下使用，切勿自行滥用。除此以外，鼻炎患者可酌情进行鼻腔冲洗，有利于清洁鼻腔、除去脓痂和臭味；部分变应性鼻炎（过敏性鼻炎）的患者可进行脱敏治疗。6.生活：变应性鼻炎（过敏性鼻炎）患者日常要避开过敏的食物，其他饮食方面没有特别要注意的地方。建议日常注意合理搭配膳食、均衡营养，有助于增强抵抗力。•	尽量避开引起鼻炎或使鼻炎加重的因素，包括各种过敏原、烟雾、粉尘、酒精、刺激性气体等等。•	可以经常进行鼻腔冲洗。•	避免接触过冷、过干燥的环境，减少对鼻黏膜的刺激，冬天出门时可以戴上口罩，室内可以使用加湿器。7.预防： •	避免接触各种已知的过敏原或刺激物，外出时可佩戴口罩；•	锻炼身体，作息规律，劳逸结合，预防感冒；•	远离粉尘和有害物质较多的环境，保持居住环境的清洁、通风；避免烟酒；•	积极治疗相关疾病，如糖尿病、内分泌失调、鼻窦炎、鼻息肉等。8.就诊：推荐科室耳鼻咽喉科中国医学科学院北京协和医院北京市东城区王府井帅府园1号（100730）；北京市西城区大木仓胡同41号（100032）三级甲等复旦大学附属眼耳鼻喉科医院上海市徐汇区汾阳路83号；分部地址：宝庆路19号 ；浦江院区：江月路2600号三级甲等中国人民解放军总医院北京市海淀区复兴路28号三级甲等首都医科大学附属北京同仁医院北京市东城区东交民巷1号三级甲等
鼻炎有哪几种类型？,根据鼻炎起病的快慢、疾病持续时间的长短，可分为急性和慢性两大类鼻炎，慢性鼻炎中较为常见的有变应性鼻炎（俗称过敏性鼻炎）、萎缩性鼻炎和药物性鼻炎。•	急性鼻炎：是由病毒感染所引起的鼻炎，常常会在病毒感染的基础上继发细菌感染。一年四季均可发病，冬季时更多见。•	变应性鼻炎（过敏性鼻炎）：由于鼻黏膜在接触到某些过敏原（如花粉、尘螨等）后发生的慢性炎症反应，一般在脱离过敏原后，症状可自行消失。常与支气管哮喘同时存在。•	萎缩性鼻炎：由于长期的刺激导致鼻黏膜萎缩，严重者还会导致黏膜下的鼻甲、鼻腔骨质等也发生萎缩。•	药物性鼻炎：长期过量使用鼻用减充血剂、抗抑郁药、抗高血压药等引起的鼻炎，一般停止用药后症状会有所缓解。
鼻炎为什么会引起耳闷？,鼻腔后方有管道「咽鼓管」与耳内相通，正常情况下，该管道可开放使鼓膜两侧的气压平衡。鼻炎发作时，由于鼻黏膜肿胀，鼻部分泌物增多，会堵塞咽鼓管口，甚至引起咽鼓管发炎，使咽鼓管不能正常开放，鼓膜两侧气压不平衡，就会导致耳闷。
鼻炎为什么会引起流眼泪？,变应性鼻炎（过敏性鼻炎）发作时，可以并发眼结膜炎，会有眼痒、流泪的表现。这是因为，鼻腔内有管道「鼻泪管」与眼相通，正常情况下眼部分泌的泪液经该管道流入鼻腔。而发炎时由于黏膜肿胀导致该管道不通畅，分泌物只好从眼部流出。
鼻炎为什么会引起头痛、头昏？,•	鼻炎发作时鼻黏膜肿胀，压迫到神经末梢，会引起头痛；•	鼻塞造成的大脑缺氧，也会引起头痛、头昏；•	萎缩性鼻炎使鼻腔过于宽大，鼻腔的保温保湿功能减退，大量干冷空气刺激鼻黏膜，也会引起头痛。
鼻炎为什么会引起嗅觉下降？,鼻炎引起嗅觉下降的原因主要有：•	鼻黏膜肿胀造成通气不畅，含气味颗粒的气体不能到达嗅区黏膜；•	鼻腔内有部分区域与嗅神经相连，由于鼻黏膜的萎缩导致相连的嗅神经也萎缩；•	慢性鼻炎长期鼻塞，嗅神经长时间接触不到气味刺激，形成「废用性萎缩」。
鼻炎会有哪些严重后果？,慢性鼻炎反复的鼻塞、流涕、喷嚏等症状会影响到日常的社交和生活，鼻塞还会加重鼾症及睡眠缺氧，小孩长期因鼻塞而张口呼吸，还可能造成智力及面部发育不良。此外，长期炎症还会对耳部、眼部产生刺激，导致中耳炎、泪囊炎等，变应性鼻炎常和支气管哮喘同时存在。
鼻炎会传染吗？,慢性鼻炎并不会传染。感冒导致的急性鼻炎，具有一定的传染性，不过这时候传染的是「感冒」病毒，而不是「鼻炎」本身。为避免染上感冒，需尽量减少和感冒病人的接触，勤洗手。
鼻炎是否会遗传？,大部分的鼻炎都不是遗传病，但是变应性鼻炎（过敏性鼻炎）有一定的遗传倾向。同一个患者可能既有变应性鼻炎又有哮喘，家族中若有成员患有过敏性疾病，则其患变应性鼻炎的风险要高于常人。
鼻炎与鼻窦炎有什么区别？,二者虽然只有一字之差，但具体的病变部位不一样：鼻腔就像客厅，而鼻窦则是与客厅相通的小房间。鼻炎是「客厅」的炎症，鼻窦炎是各个「房间」的炎症，二者可以互相影响，但治疗方法不完全一样。医生也会根据具体的病变部位来鉴别二者。
